Gen.31.55	Gen.32.1
Gen.32.1	Gen.32.2
Gen.32.2	Gen.32.3
Gen.32.3	Gen.32.4
Gen.32.4	Gen.32.5
Gen.32.5	Gen.32.6
Gen.32.6	Gen.32.7
Gen.32.7	Gen.32.8
Gen.32.8	Gen.32.9
Gen.32.9	Gen.32.10
Gen.32.10	Gen.32.11
Gen.32.11	Gen.32.12
Gen.32.12	Gen.32.13
Gen.32.13	Gen.32.14
Gen.32.14	Gen.32.15
Gen.32.15	Gen.32.16
Gen.32.16	Gen.32.17
Gen.32.17	Gen.32.18
Gen.32.18	Gen.32.19
Gen.32.19	Gen.32.20
Gen.32.20	Gen.32.21
Gen.32.21	Gen.32.22
Gen.32.22	Gen.32.23
Gen.32.23	Gen.32.24
Gen.32.24	Gen.32.25
Gen.32.25	Gen.32.26
Gen.32.26	Gen.32.27
Gen.32.27	Gen.32.28
Gen.32.28	Gen.32.29
Gen.32.29	Gen.32.30
Gen.32.30	Gen.32.31
Gen.32.31	Gen.32.32
Gen.32.32	Gen.32.33
Exod.8.1	Exod.7.26
Exod.8.2	Exod.7.27
Exod.8.3	Exod.7.28
Exod.8.4	Exod.7.29
Exod.8.5	Exod.8.1
Exod.8.6	Exod.8.2
Exod.8.7	Exod.8.3
Exod.8.8	Exod.8.4
Exod.8.9	Exod.8.5
Exod.8.10	Exod.8.6
Exod.8.11	Exod.8.7
Exod.8.12	Exod.8.8
Exod.8.13	Exod.8.9
Exod.8.14	Exod.8.10
Exod.8.15	Exod.8.11
Exod.8.16	Exod.8.12
Exod.8.17	Exod.8.13
Exod.8.18	Exod.8.14
Exod.8.19	Exod.8.15
Exod.8.20	Exod.8.16
Exod.8.21	Exod.8.17
Exod.8.22	Exod.8.18
Exod.8.23	Exod.8.19
Exod.8.24	Exod.8.20
Exod.8.25	Exod.8.21
Exod.8.26	Exod.8.22
Exod.8.27	Exod.8.23
Exod.8.28	Exod.8.24
Exod.8.29	Exod.8.25
Exod.8.30	Exod.8.26
Exod.8.31	Exod.8.27
Exod.8.32	Exod.8.28
Exod.22.1	Exod.21.37
Exod.22.2	Exod.22.1
Exod.22.3	Exod.22.2
Exod.22.4	Exod.22.3
Exod.22.5	Exod.22.4
Exod.22.6	Exod.22.5
Exod.22.7	Exod.22.6
Exod.22.8	Exod.22.7
Exod.22.9	Exod.22.8
Exod.22.10	Exod.22.9
Exod.22.11	Exod.22.10
Exod.22.12	Exod.22.11
Exod.22.13	Exod.22.12
Exod.22.14	Exod.22.13
Exod.22.15	Exod.22.14
Exod.22.16	Exod.22.15
Exod.22.17	Exod.22.16
Exod.22.18	Exod.22.17
Exod.22.19	Exod.22.18
Exod.22.20	Exod.22.19
Exod.22.21	Exod.22.20
Exod.22.22	Exod.22.21
Exod.22.23	Exod.22.22
Exod.22.24	Exod.22.23
Exod.22.25	Exod.22.24
Exod.22.26	Exod.22.25
Exod.22.27	Exod.22.26
Exod.22.28	Exod.22.27
Exod.22.29	Exod.22.28
Exod.22.30	Exod.22.29
Exod.22.31	Exod.22.30
Lev.6.1	Lev.5.20
Lev.6.2	Lev.5.21
Lev.6.3	Lev.5.22
Lev.6.4	Lev.5.23
Lev.6.5	Lev.5.24
Lev.6.6	Lev.5.25
Lev.6.7	Lev.5.26
Lev.6.8	Lev.6.1
Lev.6.9	Lev.6.2
Lev.6.10	Lev.6.3
Lev.6.11	Lev.6.4
Lev.6.12	Lev.6.5
Lev.6.13	Lev.6.6
Lev.6.14	Lev.6.7
Lev.6.15	Lev.6.8
Lev.6.16	Lev.6.9
Lev.6.17	Lev.6.10
Lev.6.18	Lev.6.11
Lev.6.19	Lev.6.12
Lev.6.20	Lev.6.13
Lev.6.21	Lev.6.14
Lev.6.22	Lev.6.15
Lev.6.23	Lev.6.16
Lev.6.24	Lev.6.17
Lev.6.25	Lev.6.18
Lev.6.26	Lev.6.19
Lev.6.27	Lev.6.20
Lev.6.28	Lev.6.21
Lev.6.29	Lev.6.22
Lev.6.30	Lev.6.23
Num.16.36	Num.17.1
Num.16.37	Num.17.2
Num.16.38	Num.17.3
Num.16.39	Num.17.4
Num.16.40	Num.17.5
Num.16.41	Num.17.6
Num.16.42	Num.17.7
Num.16.43	Num.17.8
Num.16.44	Num.17.9
Num.16.45	Num.17.10
Num.16.46	Num.17.11
Num.16.47	Num.17.12
Num.16.48	Num.17.13
Num.16.49	Num.17.14
Num.16.50	Num.17.15
Num.17.1	Num.17.16
Num.17.2	Num.17.17
Num.17.3	Num.17.18
Num.17.4	Num.17.19
